nationality,destination_country,visa_type,gender,age,education_level,employment_status,travel_purpose,language_proficiency,annual_income,bank_balance,travel_history_count,previous_rejections,accommodation_proof,return_ticket,invitation_letter,health_insurance,approval_status,processing_days
India,Sweden,Work,Male,58,High School,Private Sector,Family Visit,None,29477.45,26428.8,3,0,1,1,0,0,0,32
Ecuador,China,Work,Female,72,Associate Degree,Unemployed,Conference,Native,30460.76,61400.8,4,1,1,1,1,0,1,25
France,Malaysia,Business,Female,31,Bachelor's Degree,Government,Education,Native,110038.55,129653.18,5,0,1,1,1,1,0,1
Bulgaria,Australia,Student,Male,46,Professional Degree,Unemployed,Family Visit,Advanced,45533.49,47250.73,6,0,1,1,0,1,1,32
Pakistan,Spain,Immigrant/PR,Female,46,Bachelor's Degree,Self-Employed,Conference,Basic,9000.01,15058.26,0,0,1,0,1,1,0,52
Nepal,New Zealand,Work,Female,75,Bachelor's Degree,Retired,Business Meeting,Native,17770.79,46616.92,3,0,1,1,0,1,1,27
Hungary,Malaysia,Transit,Male,79,Master's Degree,Government,Work Assignment,Native,80348.17,134389.8,0,0,1,0,1,1,1,3
Argentina,United Kingdom,Family/Spouse,Female,68,Master's Degree,Private Sector,Permanent Residence,Native,19439.34,30450.87,1,0,1,1,1,1,1,27
Nepal,Turkey,Business,Female,53,Bachelor's Degree,Student,Work Assignment,Advanced,4604.23,13615.69,11,0,1,1,0,1,1,5
United States,China,Student,Male,48,PhD,Self-Employed,Education,None,36718.27,35512.32,0,0,1,1,1,1,1,16
Yemen,Germany,Student,Female,80,Bachelor's Degree,Self-Employed,Conference,None,24547.56,21817.33,3,0,1,1,0,1,0,34
Ethiopia,South Africa,Work,Male,45,Professional Degree,Private Sector,Work Assignment,Native,141797.53,290523.89,3,0,0,1,0,0,0,33
United Kingdom,Norway,Transit,Male,44,High School,Retired,Permanent Residence,Intermediate,14376.8,21250.02,1,0,1,1,0,0,0,8
Romania,UAE,Work,Female,64,Bachelor's Degree,Government,Work Assignment,Intermediate,189479.78,560214.06,2,0,1,1,1,1,1,16
Iraq,Germany,Work,Male,62,Bachelor's Degree,Private Sector,Medical,None,60689.18,173696.56,5,0,1,1,0,1,0,21
Myanmar,Germany,Immigrant/PR,Female,34,High School,Private Sector,Education,Intermediate,29758.03,29788.26,8,0,1,1,0,1,0,44
Qatar,Switzerland,Student,Male,70,Bachelor's Degree,Student,Medical,Intermediate,28947.35,39587.4,1,0,1,1,1,1,0,20
Argentina,New Zealand,Family/Spouse,Female,72,Bachelor's Degree,Self-Employed,Tourism,Advanced,10157.53,12106.53,1,0,1,1,0,1,1,21
Japan,UAE,Transit,Male,64,Bachelor's Degree,Student,Family Visit,Intermediate,79440.88,46522.6,8,0,1,1,1,1,1,2
Tunisia,Canada,Immigrant/PR,Male,77,Master's Degree,Government,Education,Native,71225.52,13067.68,0,0,0,0,1,1,0,76
Pakistan,UAE,Tourist,Female,68,Master's Degree,Private Sector,Work Assignment,Intermediate,15871.76,34314.55,2,0,1,1,0,0,1,13
Saudi Arabia,China,Transit,Female,55,Master's Degree,Private Sector,Medical,Native,49446.24,48542.63,2,0,1,1,1,0,0,9
Kenya,Norway,Transit,Female,54,High School,Student,Education,Advanced,13312.18,36913.52,3,0,1,1,1,1,1,15
Hungary,Turkey,Transit,Female,60,Master's Degree,Private Sector,Family Visit,Advanced,81993.55,52690.78,1,0,0,1,0,1,1,3
Ghana,Germany,Business,Male,80,Associate Degree,Government,Conference,Advanced,217814.65,452575.44,2,0,1,1,1,1,1,20
Peru,China,Immigrant/PR,Female,45,No Formal Education,Self-Employed,Education,Intermediate,30557.42,13865.03,9,0,1,1,1,1,1,36
Argentina,Malaysia,Family/Spouse,Female,34,Bachelor's Degree,Private Sector,Business Meeting,None,143243.3,295310.04,2,0,1,1,0,1,1,5
Ethiopia,Canada,Student,Female,46,Bachelor's Degree,Private Sector,Medical,Native,8002.12,13159.41,1,0,1,1,1,1,1,36
Syria,France,Transit,Female,47,Master's Degree,Government,Education,Intermediate,18281.66,28996.91,1,0,1,1,1,1,0,24
India,Belgium,Student,Male,43,Bachelor's Degree,Self-Employed,Work Assignment,Basic,16465.1,42954.45,4,0,1,1,1,0,1,25
Iraq,New Zealand,Transit,Female,74,Bachelor's Degree,Self-Employed,Education,Intermediate,50384.92,127612.78,1,0,1,1,0,1,1,23
Syria,Japan,Immigrant/PR,Female,54,Bachelor's Degree,Private Sector,Education,Native,19035.49,6651.82,1,0,1,1,0,1,1,32
Syria,Switzerland,Tourist,Male,49,Master's Degree,Unemployed,Work Assignment,Native,78179.45,100094.02,6,0,0,1,0,0,1,18
Malaysia,France,Student,Male,65,Master's Degree,Private Sector,Conference,Native,69628.49,57095.93,1,0,0,1,0,1,1,27
Hungary,United Kingdom,Transit,Female,67,Master's Degree,Unemployed,Education,Advanced,21791.97,54720.82,0,0,1,1,1,1,0,8
Kenya,Australia,Tourist,Other,73,Bachelor's Degree,Self-Employed,Business Meeting,Basic,11307.24,23336.54,1,0,1,1,0,0,1,22
Nepal,France,Tourist,Male,69,High School,Student,Medical,Advanced,156063.42,331886.91,0,0,0,1,1,1,1,19
Myanmar,Austria,Family/Spouse,Male,50,Master's Degree,Private Sector,Work Assignment,Advanced,89429.03,24364.25,2,0,1,1,1,1,1,20
China,Taiwan,Immigrant/PR,Male,67,Bachelor's Degree,Self-Employed,Permanent Residence,Advanced,38508.76,62959.48,2,0,1,0,1,1,1,31
Ecuador,Sweden,Transit,Female,69,Master's Degree,Student,Family Visit,Basic,15878.41,29011.65,3,0,1,0,1,1,0,11
Russia,United States,Work,Male,78,Bachelor's Degree,Student,Work Assignment,Intermediate,80148.41,173854.31,1,0,1,1,0,1,1,35
Yemen,Turkey,Student,Male,75,Associate Degree,Unemployed,Conference,Native,78324.13,164019.61,3,0,1,1,1,1,0,16
UAE,Portugal,Transit,Male,59,Associate Degree,Government,Tourism,Native,133582.27,118207.6,2,0,1,1,1,1,1,9
Yemen,United Kingdom,Tourist,Female,61,Professional Degree,Private Sector,Work Assignment,Native,96378.39,136121.82,0,0,1,1,0,1,1,32
Yemen,France,Immigrant/PR,Female,54,No Formal Education,Student,Family Visit,Intermediate,90253.62,63433.83,0,0,1,1,1,0,1,59
Tunisia,India,Business,Male,68,PhD,Self-Employed,Medical,Intermediate,173923.32,242173.79,0,0,1,1,0,0,1,14
Syria,Portugal,Tourist,Female,41,Bachelor's Degree,Government,Tourism,Basic,28553.54,41929.74,2,0,1,1,1,0,1,18
Argentina,United Kingdom,Transit,Female,61,Professional Degree,Private Sector,Education,Advanced,47429.46,114306.3,1,1,1,1,1,1,1,16
Romania,Switzerland,Transit,Female,32,Professional Degree,Retired,Business Meeting,Basic,119995.28,309237.86,0,0,1,0,1,0,1,9
Colombia,Norway,Tourist,Male,58,Bachelor's Degree,Student,Work Assignment,Advanced,45292.99,43202.12,8,0,1,1,1,1,1,19
Qatar,Austria,Work,Male,52,Bachelor's Degree,Government,Work Assignment,Advanced,27409.43,12173.94,7,0,1,1,0,1,1,17
Morocco,Ireland,Family/Spouse,Male,54,Master's Degree,Government,Tourism,Advanced,57074.6,168602.61,1,0,1,0,0,1,0,19
Sri Lanka,Thailand,Tourist,Male,59,High School,Self-Employed,Permanent Residence,Intermediate,18851.75,32333.94,1,0,1,1,0,1,0,11
Japan,Spain,Student,Female,42,High School,Government,Education,Native,28604.44,60062.92,1,0,1,1,0,0,0,20
Romania,France,Immigrant/PR,Male,53,Associate Degree,Private Sector,Education,Advanced,43228.49,72914.36,5,0,1,1,0,1,1,47
Myanmar,UAE,Business,Female,44,Master's Degree,Unemployed,Work Assignment,Basic,52069.19,129482.7,1,0,0,1,0,1,0,14
France,Austria,Tourist,Female,74,Master's Degree,Government,Family Visit,Native,8142.96,11840.61,6,0,1,1,0,0,1,13
Bulgaria,Switzerland,Student,Female,75,Master's Degree,Student,Family Visit,Intermediate,31413.05,53554.82,11,0,1,0,1,1,1,25
Iraq,Germany,Family/Spouse,Female,54,Master's Degree,Retired,Tourism,Advanced,21971.65,44013.46,1,0,1,1,1,0,0,23
China,Australia,Tourist,Male,62,Master's Degree,Unemployed,Education,Native,24531.48,25492.55,11,0,1,1,1,1,1,21
Japan,Spain,Business,Male,53,Bachelor's Degree,Self-Employed,Business Meeting,Native,27060.12,62330.6,0,0,1,0,1,1,1,14
Ukraine,Netherlands,Immigrant/PR,Female,74,Bachelor's Degree,Student,Work Assignment,Intermediate,1541.75,4025.76,0,0,1,1,1,0,1,45
United Kingdom,Denmark,Transit,Male,66,Master's Degree,Self-Employed,Business Meeting,None,102614.92,179941.44,0,0,1,1,0,1,1,5
Tunisia,United States,Student,Female,59,Master's Degree,Private Sector,Business Meeting,Advanced,30187.59,23125.07,0,0,1,1,1,0,1,43
Philippines,Australia,Student,Female,50,High School,Private Sector,Medical,Basic,12966.68,37067.63,2,0,1,1,1,1,1,54
Kenya,Austria,Student,Female,59,Master's Degree,Private Sector,Medical,Advanced,20832.12,49531.29,5,0,1,0,1,1,1,20
Argentina,Taiwan,Immigrant/PR,Male,39,Master's Degree,Government,Business Meeting,Intermediate,6063.12,10044.59,9,0,1,1,1,0,1,26
Afghanistan,China,Tourist,Male,74,Master's Degree,Self-Employed,Work Assignment,Native,107266.65,109218.33,0,0,0,1,0,1,1,27
France,South Korea,Student,Female,43,Bachelor's Degree,Private Sector,Conference,Native,63788.52,172115.68,4,0,1,1,0,1,1,15
Romania,Belgium,Tourist,Female,59,Master's Degree,Unemployed,Education,Basic,140302.46,94471.91,1,0,0,1,1,1,1,10
Japan,Portugal,Family/Spouse,Female,53,Bachelor's Degree,Unemployed,Tourism,Intermediate,7515.31,16789.66,5,0,1,1,1,0,0,18
Yemen,United States,Tourist,Male,57,Bachelor's Degree,Self-Employed,Education,Advanced,45851.59,96978.07,1,0,1,1,1,1,1,29
South Korea,Taiwan,Tourist,Female,47,Associate Degree,Private Sector,Medical,Intermediate,46945.15,41165.64,9,0,1,1,1,1,1,5
Ecuador,Singapore,Transit,Female,33,High School,Private Sector,Medical,Advanced,30734.36,59655.49,2,0,1,1,0,1,0,13
Mexico,United States,Business,Male,52,High School,Student,Education,Native,11351.07,21255.08,1,0,1,1,1,1,1,27
Romania,United States,Work,Male,80,High School,Student,Family Visit,Intermediate,19199.98,21048.91,0,0,1,1,0,0,1,38
Algeria,Schengen (EU),Transit,Female,46,Bachelor's Degree,Student,Permanent Residence,Intermediate,67112.87,128803.47,1,0,1,1,1,0,1,13
Kenya,Australia,Tourist,Male,59,High School,Self-Employed,Work Assignment,Intermediate,34835.57,95883.45,0,0,1,1,1,0,0,28
Tunisia,Schengen (EU),Immigrant/PR,Female,79,Bachelor's Degree,Self-Employed,Medical,Advanced,1211.54,3190.9,0,0,1,1,0,1,1,53
Romania,Taiwan,Transit,Female,58,Professional Degree,Student,Work Assignment,Advanced,64728.72,108701.6,6,0,1,1,0,1,1,5
India,Belgium,Family/Spouse,Female,52,Bachelor's Degree,Self-Employed,Family Visit,Native,34276.39,25579.11,2,0,0,1,1,0,0,16
Bangladesh,India,Business,Female,53,Bachelor's Degree,Retired,Conference,None,81267.34,85172.12,0,0,0,1,1,1,1,25
India,Taiwan,Student,Male,77,Master's Degree,Student,Medical,Advanced,26236.52,33838.56,1,0,1,1,1,1,1,22
Qatar,South Korea,Transit,Female,38,Master's Degree,Student,Business Meeting,Intermediate,66932.32,91250.79,6,0,1,1,1,1,1,5
Argentina,New Zealand,Business,Male,40,Professional Degree,Private Sector,Work Assignment,Basic,11594.98,17806.36,0,0,1,1,1,1,0,18
Poland,China,Student,Female,65,Master's Degree,Government,Medical,Native,25271.57,21571.71,4,0,0,1,0,1,0,18
Ecuador,Spain,Family/Spouse,Female,72,Master's Degree,Government,Conference,Advanced,6540.36,15692.79,4,0,1,1,0,0,1,21
China,Belgium,Immigrant/PR,Female,64,Bachelor's Degree,Unemployed,Family Visit,Basic,13800.22,40161.42,2,0,1,1,0,1,1,42
Syria,South Africa,Tourist,Male,40,High School,Unemployed,Conference,Native,8317.02,23604.33,4,0,1,1,1,1,1,25
Myanmar,Belgium,Tourist,Female,58,High School,Retired,Permanent Residence,Advanced,13251.35,16521.01,3,0,1,1,0,1,1,24
Yemen,Spain,Work,Male,57,Professional Degree,Unemployed,Tourism,Intermediate,18827.22,29921.02,3,0,1,1,0,1,0,31
China,Taiwan,Work,Female,69,Professional Degree,Student,Permanent Residence,Native,127774.48,217006.25,1,0,1,1,1,1,1,14
Tunisia,Netherlands,Student,Female,58,PhD,Private Sector,Conference,Advanced,19522.36,25704.7,3,0,1,1,0,1,1,26
India,United Kingdom,Tourist,Female,55,High School,Private Sector,Work Assignment,Advanced,2689.51,1299.2,0,0,1,1,1,1,0,22
Colombia,Netherlands,Work,Female,76,Professional Degree,Student,Family Visit,Advanced,16401.25,10722.78,0,0,1,1,0,1,1,28
Colombia,Schengen (EU),Work,Female,34,No Formal Education,Private Sector,Business Meeting,Basic,20087.27,14057.06,10,0,1,1,1,1,1,19
Sri Lanka,Turkey,Student,Female,59,High School,Private Sector,Medical,Intermediate,27149.88,18351.4,4,0,0,1,1,0,1,10
Chile,Italy,Work,Male,30,Professional Degree,Unemployed,Tourism,Advanced,21248.36,58946.02,0,0,1,1,0,0,0,21
Qatar,Thailand,Student,Other,66,Associate Degree,Private Sector,Conference,Intermediate,17689.78,37426.95,2,0,0,1,1,1,1,7
Hungary,Canada,Business,Female,47,High School,Government,Business Meeting,Advanced,78684.35,9623.87,5,0,1,1,1,1,1,17
Afghanistan,Sweden,Business,Female,50,Master's Degree,Unemployed,Conference,Native,17515.01,5813.28,4,0,1,1,0,1,0,32
Philippines,Japan,Immigrant/PR,Female,54,High School,Self-Employed,Tourism,Intermediate,52767.56,33896.75,3,0,1,1,0,1,1,30
Nigeria,Malaysia,Tourist,Male,69,Bachelor's Degree,Unemployed,Work Assignment,Intermediate,66726.78,16086.23,1,0,1,1,0,1,1,14
Australia,Portugal,Tourist,Female,57,Bachelor's Degree,Private Sector,Business Meeting,Intermediate,5160.12,14789.91,4,0,0,1,0,1,1,9
Malaysia,Belgium,Student,Female,62,Bachelor's Degree,Private Sector,Permanent Residence,Native,40997.2,71581.37,2,0,0,1,0,1,0,21
Myanmar,France,Student,Male,62,Bachelor's Degree,Government,Education,Advanced,46232.29,74817.4,3,0,1,1,0,0,0,28
United Kingdom,Austria,Work,Female,48,Associate Degree,Unemployed,Education,Native,63728.29,38345.9,1,0,0,0,1,1,0,21
Chile,France,Tourist,Male,37,High School,Government,Permanent Residence,None,36523.64,80561.31,2,0,1,1,0,0,1,12
Venezuela,Thailand,Business,Male,57,Professional Degree,Government,Medical,Intermediate,240234.7,256757.89,2,0,1,1,1,0,1,14
Morocco,Taiwan,Tourist,Male,69,Bachelor's Degree,Private Sector,Permanent Residence,Intermediate,1456.1,4360.0,0,0,1,1,0,1,1,16
UAE,France,Family/Spouse,Male,70,Master's Degree,Student,Conference,Basic,11890.22,20984.73,4,0,1,1,0,1,1,14
Egypt,Switzerland,Business,Male,66,Professional Degree,Private Sector,Conference,Basic,8256.32,19478.38,3,0,1,1,1,1,1,16
Venezuela,Switzerland,Transit,Male,61,Bachelor's Degree,Private Sector,Permanent Residence,Intermediate,35671.08,66503.02,0,0,1,0,1,1,0,21
Sri Lanka,United Kingdom,Family/Spouse,Male,72,Bachelor's Degree,Private Sector,Education,Basic,20380.65,51914.9,2,0,0,1,1,1,1,27
Iraq,Portugal,Business,Female,47,Bachelor's Degree,Private Sector,Education,Advanced,14181.76,27314.69,10,0,1,1,1,1,1,30
Saudi Arabia,Malaysia,Transit,Female,60,Master's Degree,Unemployed,Education,Advanced,96631.04,192459.54,0,0,0,0,1,0,1,4
Venezuela,Schengen (EU),Student,Male,34,High School,Private Sector,Business Meeting,Advanced,105315.28,122015.43,5,0,1,1,1,1,1,35
Chile,Portugal,Business,Female,58,Master's Degree,Government,Education,Native,103943.94,221852.92,6,0,1,1,1,1,1,13
Morocco,Malaysia,Tourist,Female,71,Master's Degree,Self-Employed,Tourism,Basic,61745.04,142931.08,3,0,1,1,1,1,0,8
South Korea,South Korea,Tourist,Male,34,Associate Degree,Private Sector,Work Assignment,None,6695.9,14840.57,17,0,1,1,1,1,1,4
Argentina,Turkey,Student,Female,65,Bachelor's Degree,Self-Employed,Medical,Advanced,15229.18,5762.15,2,0,0,1,0,1,1,3
Venezuela,Spain,Business,Male,46,Bachelor's Degree,Government,Business Meeting,Intermediate,6341.4,16653.73,5,0,1,1,1,1,1,29
Canada,Schengen (EU),Immigrant/PR,Female,39,Professional Degree,Self-Employed,Family Visit,Intermediate,18200.72,4942.41,0,0,1,1,1,1,1,34
Chile,New Zealand,Tourist,Male,57,Bachelor's Degree,Private Sector,Business Meeting,Basic,154052.62,126039.15,0,0,1,1,1,1,1,17
Iran,Australia,Family/Spouse,Male,43,No Formal Education,Private Sector,Conference,Advanced,101072.12,136601.49,0,0,1,1,0,0,1,20
Kenya,Malaysia,Immigrant/PR,Male,67,Master's Degree,Self-Employed,Education,Intermediate,17825.98,49166.49,2,0,1,1,0,0,0,14
India,Germany,Transit,Female,70,Bachelor's Degree,Self-Employed,Family Visit,Intermediate,264291.11,323596.65,3,0,1,0,1,0,1,12
Venezuela,Denmark,Work,Male,44,Master's Degree,Unemployed,Work Assignment,Intermediate,17220.14,23175.91,2,0,1,1,1,1,0,34
Poland,South Korea,Transit,Other,38,High School,Private Sector,Education,Basic,70216.91,153978.17,1,0,1,1,1,0,1,8
United Kingdom,Sweden,Student,Female,68,Professional Degree,Government,Work Assignment,Advanced,17970.49,53893.22,2,0,1,0,0,1,0,19
Colombia,Switzerland,Tourist,Female,58,Master's Degree,Retired,Family Visit,Advanced,8774.64,6804.12,3,0,0,1,1,1,0,16
United Kingdom,Germany,Work,Female,72,Bachelor's Degree,Private Sector,Conference,Advanced,7184.86,13921.16,0,0,1,1,1,0,1,22
Bangladesh,Denmark,Student,Female,45,High School,Student,Tourism,Native,20903.5,31478.92,2,0,1,1,0,1,1,14
Nepal,India,Family/Spouse,Female,75,Master's Degree,Unemployed,Medical,Advanced,30454.3,77806.41,0,0,0,0,1,1,0,13
Bulgaria,Austria,Transit,Female,78,High School,Student,Work Assignment,Native,19197.84,41475.98,7,0,1,1,0,0,0,7
Philippines,Turkey,Transit,Male,58,Master's Degree,Retired,Business Meeting,Basic,582786.36,1374229.86,1,0,1,1,1,0,0,9
Mexico,Germany,Work,Male,56,Bachelor's Degree,Unemployed,Work Assignment,Basic,60000.18,102465.58,5,0,0,1,0,1,0,29
Syria,Italy,Tourist,Female,62,Bachelor's Degree,Private Sector,Permanent Residence,Advanced,64950.43,61434.77,1,0,1,1,1,1,0,32
Argentina,Belgium,Work,Male,48,Bachelor's Degree,Unemployed,Education,Basic,22334.65,64313.05,2,0,1,1,1,0,0,28
Qatar,Turkey,Business,Female,64,Bachelor's Degree,Student,Business Meeting,Intermediate,6019.09,4828.68,0,0,0,1,1,1,1,4
Yemen,Thailand,Student,Male,34,Professional Degree,Unemployed,Medical,Basic,6429.89,6798.3,2,0,1,1,1,1,1,20
Afghanistan,France,Transit,Female,80,Bachelor's Degree,Unemployed,Business Meeting,Native,76235.93,140871.28,4,0,1,1,1,1,1,18
Ecuador,Australia,Immigrant/PR,Male,56,Professional Degree,Private Sector,Permanent Residence,Intermediate,9584.31,11936.49,0,0,1,1,1,0,0,70
Brazil,Japan,Business,Male,80,Master's Degree,Government,Education,Native,55927.33,113368.23,2,0,1,1,0,1,1,13
Qatar,Italy,Immigrant/PR,Female,40,Bachelor's Degree,Student,Family Visit,Intermediate,40576.87,32455.06,4,0,1,1,0,1,1,53
Turkey,Schengen (EU),Tourist,Female,77,High School,Unemployed,Family Visit,Native,17795.74,10287.0,1,1,1,1,0,1,0,17
Germany,UAE,Immigrant/PR,Male,51,Bachelor's Degree,Private Sector,Family Visit,Advanced,6366.63,14614.89,1,0,1,1,0,1,0,17
Ethiopia,United Kingdom,Family/Spouse,Female,38,High School,Retired,Medical,Advanced,21358.29,9397.86,3,0,1,1,1,1,0,25
Saudi Arabia,Italy,Immigrant/PR,Female,55,Bachelor's Degree,Government,Medical,Basic,19847.22,13942.25,7,0,1,1,1,1,1,27
Turkey,France,Student,Male,73,No Formal Education,Self-Employed,Education,Basic,5456.89,9479.99,0,1,1,1,1,1,1,31
United Kingdom,Italy,Immigrant/PR,Male,39,Professional Degree,Government,Work Assignment,Intermediate,30531.17,46340.49,0,0,1,0,0,1,0,33
Hungary,Denmark,Work,Male,28,Master's Degree,Private Sector,Work Assignment,Advanced,5447.56,758.7,2,0,0,1,0,1,1,10
Argentina,Thailand,Immigrant/PR,Female,70,Master's Degree,Student,Medical,Advanced,166304.08,271499.85,3,0,1,1,1,1,1,13
Romania,Austria,Business,Male,63,Master's Degree,Private Sector,Work Assignment,Advanced,101197.14,20147.16,1,0,1,1,1,1,1,9
Indonesia,South Korea,Student,Female,53,High School,Private Sector,Medical,Basic,62943.23,53769.86,13,0,1,1,0,1,1,14
Australia,France,Work,Female,70,Bachelor's Degree,Unemployed,Business Meeting,Intermediate,34366.81,48943.02,0,0,1,0,0,1,0,26
Colombia,Singapore,Student,Male,70,Bachelor's Degree,Private Sector,Medical,Advanced,22423.13,21818.35,2,0,1,0,0,0,1,16
Ecuador,Austria,Family/Spouse,Female,63,No Formal Education,Private Sector,Tourism,Advanced,12592.85,35012.02,4,0,1,1,1,1,0,16
Ecuador,Netherlands,Tourist,Female,74,Master's Degree,Private Sector,Permanent Residence,Advanced,8822.55,9993.76,12,0,1,1,1,1,1,13
Morocco,China,Student,Male,52,Master's Degree,Private Sector,Permanent Residence,Basic,37728.02,14766.44,2,0,0,1,1,1,1,26
India,Norway,Student,Male,69,No Formal Education,Government,Work Assignment,Intermediate,7895.69,11107.74,1,0,1,1,1,1,1,31
Yemen,UAE,Immigrant/PR,Male,58,Bachelor's Degree,Retired,Medical,Intermediate,11413.76,30938.39,1,0,1,1,1,0,0,25
Saudi Arabia,United Kingdom,Immigrant/PR,Female,60,Master's Degree,Student,Conference,Basic,8905.07,19597.68,6,0,1,1,1,1,1,31
France,Denmark,Family/Spouse,Female,28,Professional Degree,Student,Permanent Residence,Advanced,209645.98,329431.54,3,0,1,1,0,1,1,12
France,Belgium,Tourist,Female,56,Master's Degree,Unemployed,Conference,Advanced,17350.96,37436.44,1,0,0,1,0,0,0,9
Hungary,Thailand,Work,Male,64,Bachelor's Degree,Student,Medical,Intermediate,59211.38,129654.29,1,0,1,1,1,1,1,10
India,Schengen (EU),Family/Spouse,Male,61,PhD,Private Sector,Permanent Residence,Intermediate,33214.57,55038.92,2,0,0,1,1,1,1,22
Malaysia,Spain,Tourist,Male,42,No Formal Education,Unemployed,Education,Native,9212.42,14517.1,1,0,1,1,1,0,0,9
Brazil,Ireland,Business,Male,44,Bachelor's Degree,Self-Employed,Education,Basic,52755.62,126590.3,4,0,1,0,1,1,1,21
Venezuela,Germany,Business,Female,67,Master's Degree,Student,Permanent Residence,Advanced,113270.0,285514.41,1,0,1,1,0,1,0,24
Colombia,Austria,Immigrant/PR,Female,66,Bachelor's Degree,Private Sector,Education,Advanced,48086.53,114775.2,0,0,1,1,0,0,1,55
Turkey,Malaysia,Immigrant/PR,Female,43,Master's Degree,Student,Conference,Native,78008.0,97847.43,0,0,1,1,1,1,1,7
Bulgaria,South Africa,Work,Male,44,Professional Degree,Unemployed,Permanent Residence,Intermediate,166477.91,241655.58,11,0,1,1,1,1,1,16
Romania,Norway,Family/Spouse,Female,53,Bachelor's Degree,Private Sector,Permanent Residence,Advanced,223835.71,657608.23,0,0,1,1,0,1,1,21
Colombia,Ireland,Tourist,Male,45,Master's Degree,Student,Education,Intermediate,59261.53,93275.06,0,1,1,1,0,0,0,21
Japan,UAE,Work,Male,69,Associate Degree,Government,Tourism,Basic,21589.01,9516.74,3,0,1,1,0,1,1,7
United States,Schengen (EU),Student,Male,61,High School,Private Sector,Conference,Intermediate,50133.32,148961.42,5,0,1,1,1,1,1,23
Argentina,Denmark,Business,Female,44,Master's Degree,Private Sector,Work Assignment,Basic,27117.07,56544.45,2,0,1,1,0,0,0,14
Canada,Schengen (EU),Tourist,Female,56,Master's Degree,Self-Employed,Permanent Residence,Basic,44566.92,37087.31,5,0,1,1,1,0,0,10
Bulgaria,Sweden,Immigrant/PR,Male,78,Bachelor's Degree,Private Sector,Permanent Residence,Basic,29073.16,18201.48,0,0,0,1,0,1,0,43
France,Turkey,Student,Female,38,Professional Degree,Private Sector,Medical,None,51594.49,28647.48,1,0,1,1,1,1,1,3
Sri Lanka,Japan,Business,Female,40,Bachelor's Degree,Government,Tourism,Basic,211996.56,396266.86,1,0,1,1,0,1,1,14
Indonesia,Germany,Work,Male,47,High School,Government,Conference,Intermediate,19784.88,5567.01,1,0,1,1,1,1,1,23
France,United Kingdom,Immigrant/PR,Female,45,Bachelor's Degree,Unemployed,Permanent Residence,Basic,16886.76,18548.03,0,0,1,1,1,1,1,32
Brazil,France,Immigrant/PR,Female,69,High School,Retired,Tourism,Intermediate,30519.64,29622.35,0,0,1,1,0,1,1,35
Thailand,Portugal,Work,Male,69,Bachelor's Degree,Private Sector,Work Assignment,Advanced,46990.44,51602.33,5,0,1,1,1,1,1,26
Germany,Spain,Transit,Male,56,Professional Degree,Private Sector,Conference,Advanced,39565.28,54082.86,3,0,1,0,0,0,0,5
Canada,South Korea,Business,Female,71,Bachelor's Degree,Private Sector,Tourism,Intermediate,10687.49,31515.12,2,0,1,1,1,1,1,8
Egypt,Turkey,Student,Female,39,High School,Student,Conference,Basic,135142.9,287145.8,7,0,1,1,0,0,1,12
Iraq,Italy,Transit,Female,55,High School,Self-Employed,Medical,Native,7335.63,16128.34,2,0,1,0,1,1,0,25
Venezuela,Norway,Immigrant/PR,Female,42,PhD,Student,Tourism,Native,54470.8,32284.28,0,0,1,1,1,1,1,51
Australia,United States,Student,Female,57,Bachelor's Degree,Government,Conference,Basic,33832.45,17321.52,2,0,1,1,1,1,1,30
Malaysia,Australia,Work,Female,40,Master's Degree,Self-Employed,Business Meeting,Intermediate,79782.16,189370.93,0,0,1,1,1,0,1,49
Saudi Arabia,Portugal,Transit,Female,58,High School,Government,Work Assignment,Advanced,11268.85,12067.52,0,0,0,1,0,1,0,10
Kenya,Belgium,Work,Male,69,Bachelor's Degree,Government,Education,Advanced,136021.79,296218.39,0,0,0,0,0,1,1,24
Canada,Canada,Family/Spouse,Male,62,Bachelor's Degree,Student,Medical,Native,6249.6,15532.52,7,0,1,1,1,1,0,17
Bangladesh,China,Transit,Female,54,Master's Degree,Self-Employed,Permanent Residence,None,15409.66,12121.97,1,0,1,1,0,0,1,16
Myanmar,New Zealand,Immigrant/PR,Male,72,Bachelor's Degree,Private Sector,Education,Native,75258.5,192616.22,2,0,1,1,0,1,1,42
Egypt,New Zealand,Immigrant/PR,Female,55,Bachelor's Degree,Retired,Business Meeting,Basic,4909.34,6966.47,1,0,1,0,0,1,0,59
India,Portugal,Business,Female,73,Master's Degree,Self-Employed,Conference,Advanced,67304.54,154156.4,3,0,0,1,1,1,1,17
Australia,China,Family/Spouse,Female,54,Bachelor's Degree,Government,Tourism,Native,9003.25,1527.51,6,0,1,1,0,1,1,12
Iran,Netherlands,Transit,Male,69,High School,Private Sector,Medical,Intermediate,20767.24,5523.72,13,0,1,1,1,1,0,15
Canada,Japan,Student,Female,47,PhD,Private Sector,Medical,Native,8540.14,17620.26,0,0,0,0,0,1,1,15
Ukraine,Denmark,Work,Female,39,Bachelor's Degree,Government,Permanent Residence,Basic,105364.1,57920.13,1,0,1,1,1,1,1,28
Afghanistan,UAE,Immigrant/PR,Female,57,Bachelor's Degree,Student,Education,Intermediate,23980.52,36599.66,1,0,1,1,1,1,1,34
